Scancode,SPDX-ID
Apache 2,Apache-2.0,
Apache License 1.0,Apache-1.0
Apache License 1.1,Apache-1.1
Apache License 2.0,Apache-2.0
"Apache License, Version 2.0",Apache-2.0,
Apache Software License 1.0,Apache-1.0
Apache Software License 1.1,Apache-1.1
Apache Software License 2.0,Apache-2.0
"Apache Software License, Version 1.0",Apache-1.0
"Apache Software License, Version 1.1",Apache-1.1
Apache (v1.0),Apache-1.0
Apache (v1.1),Apache-1.1
Apache (v2.0),Apache-2.0
apl1.0,APL-1.0
APL 1.0,APL-1.0
Apple MIT License,AML
Apple Public Source License 1.0,APSL-1.0
Apple Public Source License 1.1,APSL-1.1
Apple Public Source License 1.2,APSL-1.2
Apple Public Source License 2.0,APSL-2.0
"APPLE PUBLIC SOURCE LICENSE, Version 1.1",APSL-1.1
"Apple Public Source License, Version 2.0",APSL-2.0
APSL 1.0,APSL-1.0
APSL 1.1,APSL-1.1
APSL 1.2,APSL-1.2
APSL 2.0,APSL-2.0
Artistic 1.0,Artistic-1.0
Artistic 1.0 (original),Artistic-1.0
Artistic 1.0 w/clause 8,Artistic-1.0-cl8
Artistic 2.0,Artistic-2.0
Artistic (clarified),ClArtistic
Artistic License 1.0,Artistic-1.0
Artistic License 1.0 (Perl),Artistic-1.0-Perl
Artistic License 1.0 w/clause 8,Artistic-1.0-cl8
artistic-license-2.0,Artistic-2.0
Artistic License 2.0,Artistic-2.0
Artistic License (Perl) 1.0,Artistic-1.0
Artistic License (v. 2.0),Artistic-2.0
"Artistic License, Version 1.0",Artistic-1.0
"Artistic License, Version 2.0",Artistic-2.0
Artistic-Perl-1.0,Artistic-1.0-Perl
ASL 1.0,Apache-1.0
ASL 1.1,Apache-1.1
ASL 2.0,Apache-2.0
Attribution Assurance License,AAL
Attribution Assurance Licenses,AAL
Bahyph License,Bahyph
Barr License,Barr
Barr TeX License,Barr
Beerware 42,Beerware
Beerware License,Beerware
Beer-Ware License,Beerware
Berkeley Database License,Sleepycat
BitTorrent 1.0,BitTorrent-1.0
BitTorrent 1.1,BitTorrent-1.1
BitTorrent Open Source License 1.1,BitTorrent-1.1
BitTorrent Open Source License v1.0,BitTorrent-1.0
BitTorrent Open Source License v1.1,BitTorrent-1.1
Blue Oak Model License 1.0.0,BlueOak-1.0.0
Boost 1.0,BSL-1.0
Boost Software License 1.0,BSL-1.0
Boost Software License 1.0 (BSL-1.0),BSL-1.0
Boost Software License - Version 1.0,BSL-1.0
Borceux license,Borceux
Borceux License,Borceux
BSD 1-Clause License,BSD-1-Clause
BSD-2,BSD-2-Clause
#BSD-2-Claus
#BSD-2-Clause
BSD (2 clause),BSD-2-Clause
BSD 2-Clause License,BSD-2-Clause
#BSD-2-Clause-Paten
#BSD-2-Clause-Patent
BSD-2-Clause Plus Patent,BSD-2-Clause-Patent
BSD-2-Clause Plus Patent License,BSD-2-Clause-Patent,
"BSD 2-Clause ""Simplified"" License",BSD-2-Clause
BSD 2-Clause "Simplified" License,BSD-2-Clause
BSD 2-Clause "Simplified" License,BSD-2-Clause,
"BSD 2-Clause ""Simplified"" or ""FreeBSD"" License",BSD-2-Clause
"BSD 2-Clause ""Simplified"" or ""FreeBSD"" License (BSD-2-Clause)",BSD-2-Clause
BSD 2-Clause with views sentence,BSD-2-Clause-Views
BSD 2 plus,BSD-2-Clause-Patent
BSD 2 plus,BSD-2-Clause-Patent,
BSD 2 PLUS,BSD-2-Clause-Patent
BSD 2 PLUS,BSD-2-Clause-Patent,
BSD-3,BSD-3-Clause
#BSD-3-Claus
#BSD-3-Clause
BSD (3 clause),BSD-3-Clause
BSD-3-Clause,BSD-3-Clause
BSD-3-Clause,BSD-3-Clause,
BSD 3-Clause Clear License,BSD-3-Clause-Clear
BSD 3-Clause License,BSD-3-Clause
"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause
"BSD 3-Clause ""New"" or ""Revised"" License (BSD-3-Clause)",BSD-3-Clause
BSD 3-Clause No Nuclear License 2014,BSD-3-Clause-No-Nuclear-License-2014
BSD 3-Clause No Nuclear License,BSD-3-Clause-No-Nuclear-License
BSD 3-Clause No Nuclear Warranty,BSD-3-Clause-No-Nuclear-Warranty
BSD 3-Clause Open MPI variant,BSD-3-Clause-Open-MPI
"BSD 4-clause ""Original"" or ""Old"" License",BSD-4-Clause
"BSD 4-Clause ""Original"" or ""Old"" License",BSD-4-Clause
BSD-4-Clause (University of California-Specific),BSD-4-Clause-UC
BSD Acknowledgment License,BSD-3-Clause-Attribution
BSD License (3 clause),BSD-3-Clause
BSD License (3 clause),BSD-3-Clause,
BSD License 3 clause,BSD-3-Clause
BSD License 3 clause,BSD-3-Clause,
BSD License (no advertising),BSD-3-Clause
BSD License (original),BSD-4-Clause
BSD License (two clause),BSD-2-Clause
BSD-Original,BSD-4-Clause
BSD-Original-UC,BSD-4-Clause-UC
BSD Protection License,BSD-Protection
BSD Source Code Attribution,BSD-Source-Code
BSD with attribution,BSD-3-Clause-Attribution
BSD Zero Clause License,0BSD
bsl1.0,BSL-1.0
BSL (v1.0),BSL-1.0
BSL (v1),BSL-1.0
bzip2 and libbzip2 License v1.0.5,bzip2-1.0.5
bzip2 and libbzip2 License v1.0.6,bzip2-1.0.6
bzip2 License 2010,bzip2-1.0.6
Caldera License,Caldera
ca-tosl1.1,CATOSL-1.1
CA Trusted Open Source License 1.1,CATOSL-1.1
CC0 1.0,CC0-1.0
CC-BY 4.0,CC-BY-4.0
CC-BY-SA 4.0,CC-BY-SA-4.0
CC-PD,CC-PDDC
#CDDL-1.
#CDDL-1.0
CDDL 1.0,CDDL-1.0
CDDL 1.1,CDDL-1.1
cddl1,CDDL-1.0
"CDDL v1.0",CDDL-1.0
"CDDL v1.0",CDDL-1.0,
"CDDL, v1.0",CDDL-1.0
"CDDL, v1.0",CDDL-1.0,
CDLA Permissive 1.0,CDLA-Permissive-1.0
CDLA Sharing 1.0,CDLA-Sharing-1.0
"Cea Cnrs Inria Logiciel Libre License, Version 2.1",CECILL-2.1
CeCILL 1.0,CECILL-1.0
CeCILL 1.1 English,CECILL-1.1
CeCILL 2.0,CECILL-2.0
CeCILL 2.1,CECILL-2.1
CeCILL-B Free Software License Agreement,CECILL-B
CeCILL-B License,CECILL-B
CeCILL-C Free Software License Agreement,CECILL-C
CeCILL-C License,CECILL-C
CeCILL Free Software License Agreement v1.0,CECILL-1.0
CeCILL Free Software License Agreement v1.1,CECILL-1.1
CeCILL Free Software License Agreement v2.0,CECILL-2.0
CeCILL Free Software License Agreement v2.1,CECILL-2.1
CeCILL License 2.1,CECILL-2.1
CERN Open Hardware Licence v1.1,CERN-OHL-1.1
CERN Open Hardware Licence v1.2,CERN-OHL-1.2
CERN Open Hardware Licence Version 2 - Permissive,CERN-OHL-P-2.0
CERN Open Hardware Licence Version 2 - Strongly Reciprocal,CERN-OHL-S-2.0
CERN Open Hardware Licence Version 2 - Weakly Reciprocal,CERN-OHL-W-2.0
CERN Open Hardware License v1.1,CERN-OHL-1.1
Clarified Artistic License,ClArtistic
Classpath exception to GPL 2.0,GPL-2.0-with-classpath-exception,Yes - https://spdx.org/licenses/GPL-2.0-with-classpath-exception.htm
Classpath exception to GPL 2.0,GPL-2.0-with-classpath-exception,Yes - https://spdx.org/licenses/GPL-2.0-with-classpath-exception.html
Classpath exception to GPL 2.0 or later,GPL-2.0-with-classpath-exception,Yes - https://spdx.org/licenses/GPL-2.0-with-classpath-exception.htm
Classpath exception to GPL 2.0 or later,GPL-2.0-with-classpath-exception,Yes - https://spdx.org/licenses/GPL-2.0-with-classpath-exception.html
Clear BSD,BSD-3-Clause-Clear
Clear BSD License,BSD-3-Clause-Clear
CMU License,MIT-CMU
CMU UC Regents License,MIT-CMU
CNRI Jython License,CNRI-Jython
CNRI LICENSE AGREEMENT FOR PYTHON 1.6.1,CNRI-Python
CNRI portion of the multi-part Python License,CNRI-Python
CNRI Python 1.6.1,CNRI-Python-GPL-Compatible
CNRI Python 1.6,CNRI-Python
CNRI Python License,CNRI-Python
CNRI Python Open Source GPL Compatible License Agreement,CNRI-Python-GPL-Compatible
Code Project Open License 1.02,CPOL-1.02
Common Development and Distribution License 1.0,CDDL-1.0
Common Development and Distribution License 1.1,CDDL-1.1
COMMON DEVELOPMENT AND DISTRIBUTION LICENSE Version 1.0,CDDL-1.0
"Common Development and Distribution License, Version 1.0",CDDL-1.0
COMMON DEVELOPMENT AND DISTRIBUTION LICENSE Version 1.0 governed by the laws of the State of California,CDDL-1.0
COMMON DEVELOPMENT AND DISTRIBUTION LICENSE Version 1.1,CDDL-1.1
Common Public Attribution License 1.0,CPAL-1.0
Common Public Attribution License Version 1.0,CPAL-1.0
Common Public Attribution License Version 1.0 (CPAL-1.0),CPAL-1.0
Common Public License 1.0,CPL-1.0
Common Public License Version 1.0,CPL-1.0
"Common Public License, Version 1.0",CPL-1.0
Community Data License Agreement Permissive 1.0,CDLA-Permissive-1.0
Community Data License Agreement Sharing 1.0,CDLA-Sharing-1.0
Computer Associates Trusted Open Source License 1.1,CATOSL-1.1
Computer Associates Trusted Open Source License 1.1 (CATOSL-1.1),CATOSL-1.1
"Computer Associates Trusted Open Source License, Version 1.1",CATOSL-1.1
Condor Public License 1.1,Condor-1.1
Condor Public License v1.1,Condor-1.1
copyleft-next 0.3.0,copyleft-next-0.3.0
copyleft-next 0.3.1,copyleft-next-0.3.1
cpal_1.0,CPAL-1.0
CPAL 1.0,CPAL-1.0
CPL 1.0,CPL-1.0
CPL,CPL-1.0
CPOL 1.02,CPOL-1.02
Creative Commons Attribution 1.0 Generic,CC-BY-1.0
Creative Commons Attribution 2.0 Generic,CC-BY-2.0
Creative Commons Attribution 2.5 Generic,CC-BY-2.5
Creative Commons Attribution 3.0 Austria,CC-BY-3.0-AT
Creative Commons Attribution 3.0 United States,CC-BY-3.0-US
Creative Commons Attribution 3.0 Unported,CC-BY-3.0
Creative Commons Attribution 4.0,CC-BY-4.0
Creative Commons Attribution 4.0 International,CC-BY-4.0
Creative Commons Attribution No Derivatives 1.0 Generic,CC-BY-ND-1.0
Creative Commons Attribution No Derivatives 2.0 Generic,CC-BY-ND-2.0
Creative Commons Attribution No Derivatives 2.5 Generic,CC-BY-ND-2.5
Creative Commons Attribution No Derivatives 3.0 Unported,CC-BY-ND-3.0
Creative Commons Attribution-NoDerivatives 4.0 International,CC-BY-NC-ND-4.0
Creative Commons Attribution No Derivatives 4.0 International,CC-BY-ND-4.0
Creative Commons Attribution-NoDerivs 2.5 Generic,CC-BY-NC-ND-2.5
Creative Commons Attribution-NoDerivs 3.0 Unported,CC-BY-NC-ND-3.0
Creative Commons Attribution Non Commercial 1.0 Generic,CC-BY-NC-1.0
Creative Commons Attribution Non Commercial 2.0 Generic,CC-BY-NC-2.0
Creative Commons Attribution Non Commercial 2.5 Generic,CC-BY-NC-2.5
Creative Commons Attribution Non Commercial 3.0 Unported,CC-BY-NC-3.0
Creative Commons Attribution-NonCommercial 4.0,CC-BY-NC-4.0
Creative Commons Attribution Non Commercial 4.0 International,CC-BY-NC-4.0
Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic,CC-BY-NC-ND-1.0
Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic,CC-BY-NC-ND-2.0
Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic,CC-BY-NC-ND-2.5
Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO,CC-BY-NC-ND-3.0-IGO
Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported,CC-BY-NC-ND-3.0
Creative Commons Attribution Non Commercial No Derivatives 4.0 International,CC-BY-NC-ND-4.0
Creative Commons Attribution Non Commercial Share Alike 1.0 Generic,CC-BY-NC-SA-1.0
Creative Commons Attribution Non Commercial Share Alike 2.0 Generic,CC-BY-NC-SA-2.0
Creative Commons Attribution Non Commercial Share Alike 2.5 Generic,CC-BY-NC-SA-2.5
Creative Commons Attribution Non Commercial Share Alike 3.0 Unported,CC-BY-NC-SA-3.0
Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported,CC-BY-NC-SA-3.0
Creative Commons Attribution Non Commercial Share Alike 4.0 International,CC-BY-NC-SA-4.0
Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,CC-BY-NC-SA-4.0
Creative Commons Attribution Share Alike 1.0 Generic,CC-BY-SA-1.0
Creative Commons Attribution-ShareAlike 1.0 Generic,CC-BY-SA-1.0
Creative Commons Attribution Share Alike 2.0 England and Wales,CC-BY-SA-2.0-UK
Creative Commons Attribution Share Alike 2.0 Generic,CC-BY-SA-2.0
Creative Commons Attribution-ShareAlike 2.0 Generic,CC-BY-SA-2.0
Creative Commons Attribution-ShareAlike 2.5,CC-BY-SA-2.5
Creative Commons Attribution Share Alike 2.5 Generic,CC-BY-SA-2.5
Creative Commons Attribution-Share Alike 3.0 Austria,CC-BY-SA-3.0-AT
Creative Commons Attribution Share Alike 3.0 Unported,CC-BY-SA-3.0
Creative Commons Attribution-ShareAlike 3.0 Unported,CC-BY-SA-3.0
Creative Commons Attribution Share-Alike 4.0,CC-BY-SA-4.0
Creative Commons Attribution Share Alike 4.0 International,CC-BY-SA-4.0
Creative Commons Attribution-ShareAlike 4.0 International,CC-BY-SA-4.0
Creative Commons CC0 1.0 Universal,CC0-1.0
Creative Commons Copyright-Only Dedication (based on United States law) or Public Domain Certification,CC-PDDC
Creative Commons Public Domain Dedication and Certification,CC-PDDC
Creative Commons ShareAlike 1.0 Generic,CC-BY-SA-1.0
Creative Commons Zero 1.0,CC0-1.0
Creative Commons Zero v1.0 Universal,CC0-1.0
Creative Comnons Attribution-NonCommercial 1.0 Generic,CC-BY-NC-1.0
Creative Comnons Attribution-NonCommercial-NoDerivs 3.0 Unported,CC-BY-NC-ND-3.0
Crossword License,Crossword
Cryptographic Autonomy License 1.0,CAL-1.0
Cryptographic Autonomy License 1.0 (Combined Work Exception),CAL-1.0-Combined-Work-Exception
Crystal Stacker License,CrystalStacker
CrystalStacker License,CrystalStacker
CUA Office Public License 1.0,CUA-OPL-1.0
CUA Office Public License,CUA-OPL-1.0
CUA Office Public License v1.0,CUA-OPL-1.0
Cube License,Cube
curl License,curl
cURL License,curl
Deutsche Freie Software Lizenz,D-FSL-1.0
diffmark license,diffmark
diffmark License,diffmark
DOC License,DOC
Dom4j License,Plexus
DOM4J License,Plexus
Dotseqn License,Dotseqn
#doubt on this - shouldn't be written or later, because or later doesn't exist within SPDX lis
#doubt on this - shouldn't be written or later, because or later doesn't exist within SPDX list
Do What The F*ck You Want To Public License,WTFPL
Do What The Fuck You Want To Public License (WTFPL) 2,WTFPL
DSDP License,DSDP
dvipdfm License,dvipdfm
ECL 1.0,ECL-1.0
ECL 2.0,ECL-2.0
ecl2,ECL-2.0
eclipse-1.0,EPL-1.0
eclipse-2.0,EPL-2.0
Eclipse Public License 1.0,EPL-1.0
Eclipse Public License 2.0,EPL-2.0
Eclipse Public License - v 2.0,EPL-2.0
"Eclipse Public License Version 1.0",EPL-1.0
"Eclipse Public License Version 1.0",EPL-1.0,
"Eclipse Public License, Version 1.0",EPL-1.0,
"Eclipse Public License Version 2.0",EPL-2.0
"Eclipse Public License Version 2.0",EPL-2.0,
"Eclipse Public License, Version 2.0",EPL-2.0
"Eclipse Public License, Version 2.0",EPL-2.0,
Educational Community License 1.0,ECL-1.0
Educational Community License 2.0,ECL-2.0
Educational Community License v1.0,ECL-1.0
Educational Community License v2.0,ECL-2.0
"Educational Community License, Version 1.0",ECL-1.0
"Educational Community License, Version 2.0",ECL-2.0
EFL 1.0,EFL-1.0
EFL 2.0,EFL-2.0
EFL MIT-Style License,MIT-advertising
eGenix.com Public License 1.1.0,eGenix
eGenix Public License 1.1.0,eGenix
Eiffel Forum License 2.0,EFL-2.0
Eiffel Forum License v1.0,EFL-1.0
Eiffel Forum License v2.0,EFL-2.0
"Eiffel Forum License, Version 2",EFL-2.0
Enlightenment License (e16),MIT-advertising
enna License,MIT-enna
Entessa 1.0,Entessa
Entessa Public License 1.0,Entessa
Entessa Public License,Entessa
Entessa Public License v1.0,Entessa
EPICS Open License,EPICS
#EPL-1.
#EPL-1.0
EPL 1.0,EPL-1.0,
#EPL-2.
#EPL-2.0
EPL 2.0,EPL-2.0,
Erlang Public License 1.1,ErlPL-1.1
Erlang Public License v1.1,ErlPL-1.1
ERLANG PUBLIC LICENSE Version 1.1,ErlPL-1.1
Etalab Open License 2.0,etalab-2.0
EU Datagrid Software License,EUDatagrid
EU DataGrid Software License,EUDatagrid
EUPL 1.0,EUPL-1.0
EUPL 1.1,EUPL-1.1
EUPL 1.2,EUPL-1.2
European Union Public Licence 1.2,EUPL-1.2
"European Union Public Licence, v.1.1",EUPL-1.1
European Union Public License 1.0,EUPL-1.0
European Union Public License 1.1,EUPL-1.1
European Union Public License 1.2,EUPL-1.2
"European Union Public License, Version 1.1",EUPL-1.1
Eurosym License,Eurosym
Expat License,MIT
Expat License,MIT,
Expat,MIT,
Fair License,Fair
Fair License (Fair),Fair
FastCGI DevKit,OML
feh License,MIT-feh
Frameworx 1.0,Frameworx-1.0
Frameworx License 1.0,Frameworx-1.0
"Frameworx License, Version 1.0",Frameworx-1.0
Frameworx Open License 1.0,Frameworx-1.0
FreeBSD License,BSD-2-Clause
FreeImage Public License 1.0,FreeImage
FreeImage Public License v1.0,FreeImage
Freetype Project License,FTL
FreeType Project License,FTL
FreeType Project LICENSE,FTL
FSF All Permissive license,FSFAP
FSF All Permissive License,FSFAP
FSF Free Software License,FSFUL
FSF-Unlimited,FSFULLR
FSF Unlimited License,FSFUL
FSF Unlimited License (with License Retention),FSFULLR
GFDL 1.1,GFDL-1.1-only
GFDL 1.1 or later,GFDL-1.1-or-later
GFDL 1.2,GFDL-1.2-only
GFDL 1.2 or later,GFDL-1.2-or-later
GFDL 1.3,GFDL-1.3-only
GFDL 1.3 or later,GFDL-1.3-or-later
Giftware License,Giftware
GL2PS License,GL2PS
"GL2PS LICENSE, Version 2",GL2PS
Glulxe License,Glulxe
GNU Affero General Public License 3.0,AGPL-3.0-or-later
GNU Affero General Public License (AGPL-3.0) (v. 3.0),AGPL-3.0-only
GNU Affero General Public License v3.0 only,AGPL-3.0-only
GNU Affero General Public License v3.0 or later,AGPL-3.0-or-later
GNU Affero General Public License v3,AGPL-3.0-only
"GNU AFFERO GENERAL PUBLIC LICENSE, Version 3 (AGPL-3.0)",AGPL-3.0-only
GNU AFFERO GENERAL PUBLIC LICENSE Version 3,AGPL-3.0-only
GNU AGPLv3,AGPL-3.0-only
GNU Free Documentation License v1.1 only,GFDL-1.1-only
GNU Free Documentation License v1.1 only - invariants,GFDL-1.1-invariants-only
GNU Free Documentation License v1.1 only - no invariants,GFDL-1.1-no-invariants-only
GNU Free Documentation License v1.1 or later,GFDL-1.1-or-later
GNU Free Documentation License v1.1 or later - invariants,GFDL-1.1-invariants-or-later
GNU Free Documentation License v1.1 or later - no invariants,GFDL-1.1-no-invariants-or-later
GNU Free Documentation License v1.2 only,GFDL-1.2-only
GNU Free Documentation License v1.2 only - invariants,GFDL-1.2-invariants-only
GNU Free Documentation License v1.2 only - no invariants,GFDL-1.2-no-invariants-only
GNU Free Documentation License v1.2 or later,GFDL-1.2-or-later
GNU Free Documentation License v1.2 or later - invariants,GFDL-1.2-invariants-or-later
GNU Free Documentation License v1.2 or later - no invariants,GFDL-1.2-no-invariants-or-later
GNU Free Documentation License v1.3 only,GFDL-1.3-only
GNU Free Documentation License v1.3 only - invariants,GFDL-1.3-invariants-only
GNU Free Documentation License v1.3 only - no invariants,GFDL-1.3-no-invariants-only
GNU Free Documentation License v1.3 or later,GFDL-1.3-or-later
GNU Free Documentation License v1.3 or later - invariants,GFDL-1.3-invariants-or-later
GNU Free Documentation License v1.3 or later - no invariants,GFDL-1.3-no-invariants-or-later
GNU General Public License 2.0,GPL-2.0-only
GNU General Public License v1.0 only,GPL-1.0-only
GNU General Public License v1.0 or later,GPL-1.0-or-later
GNU General Public License v2.0 only,GPL-2.0-only
GNU General Public License v2.0 or later,GPL-2.0-or-later
GNU General Public License Version 1,GPL-1.0-only
"GNU General Public License, Version 2.0",GPL-2.0-only
GNU General Public License Version 2,GPL-2.0-only,
"GNU General Public License Version 3.0",GPL-3.0-only
"GNU General Public License Version 3.0",GPL-3.0-only,
"GNU General Public License, Version 3.0",GPL-3.0-only
"GNU General Public License, Version 3.0",GPL-3.0-only,
GNU GPLv2,GPL-2.0-only
GNU Lesser General Public License 2.1,LGPL-2.1-only
GNU Lesser General Public License v2.1 only,LGPL-2.1-only
GNU Lesser General Public License v2.1 or later,LGPL-2.1-or-later
GNU Lesser General Public License Version 2.1,LGPL-2.1-only
"GNU Lesser General Public License Version 2.1",LGPL-2.1-only
"GNU Lesser General Public License Version 2.1",LGPL-2.1-only,
"GNU Lesser General Public License, Version 2.1",LGPL-2.1-only
"GNU Lesser General Public License Version 3",LGPL-3.0-only
"GNU Lesser General Public License Version 3",LGPL-3.0-only,
"GNU Lesser General Public License, Version 3",LGPL-3.0-only
"GNU Lesser General Public License, Version 3",LGPL-3.0-only,
"GNU Lesser General Public License, Version 3 or later",LGPL-3.0-or-later
"GNU Lesser General Public License, Version 3 or later",LGPL-3.0-or-later,
GNU LGPLv2.1,LGPL-2.1-only
GNU Library General Public License v2 only,LGPL-2.0-only
GNU Library General Public License v2 or later,LGPL-2.0-or-later
GNU Library General Public License Version 2,LGPL-2.0-only
GNU Library or Lesser General Public License (LGPL) V2.1,LGPL-2.1-onl
GNU Library or Lesser General Public License (LGPL) V2.1,LGPL-2.1-only
gnuplot License,gnuplot
Good Luck With That Public License,GLWTPL
GPL 1.0,GPL-1.0-only
GPL-1.0,GPL-1.0-only
GPL1.0,GPL-1.0-only
GPL-1.0+,GPL-1.0-or-later
GPL1.0+,GPL-1.0-or-later
GPL 1.0 or later,GPL-1.0-or-later
GPL1,GPL-1.0-only
GPL1+,GPL-1.0-or-later
gpl-2.0,GPL-2.0-only
GPL 2.0,GPL-2.0-only,
GPL-2.0,GPL-2.0-only
GPL2.0,GPL-2.0-only
GPL-2.0+,GPL-2.0-or-later
GPL2.0+,GPL-2.0-or-later
#GPL-2.0-onl
#GPL-2.0-only
GPL 2.0 only,GPL-2.0-only
GPL 2.0 only,GPL-2.0-only,
#GPL-2.0-or-late
#GPL-2.0-or-later
GPL 2.0 or later,GPL-2.0-or-later,
#GPL-2.0-with-classpath-exceptio
#GPL-2.0-with-classpath-exception
GPL 2,GPL-2.0-only
GPL 2,GPL-2.0-only,
GPL2,GPL-2.0-only
GPL2+,GPL-2.0-or-later
GPL 3.0,GPL-3.0-only
GPL 3.0,GPL-3.0-only,
#GPL-3.0-only
#GPL-3.0-only,
GPL 3.0 only,GPL-3.0-only
GPL 3.0 only,GPL-3.0-only,
GPL-3.0-only,GPL-3.0-or-later
GPL-3.0-or-later,GPL-3.0-only
GPL 3.0 or later,GPL-3.0-or-later
GPL 3.0 or later,GPL-3.0-or-later,
GPL 3,GPL-3.0-only
GPL 3,GPL-3.0-only,
GPL (v2),GPL-2.0-only
GPL (v2 or later),GPL-2.0-or-later
gSOAP Public License v1.3b,gSOAP-1.3b
gSOAP Public License Version 1.3b,gSOAP-1.3b
Haskell Language Report License,HaskellReport
Haskell Report License,HaskellReport
Henry Spencer License 1999,Spencer-99
Henry Spencer Regexp License,Spencer-94
Hippocratic License 2.1,Hippocratic-2.1
Hippocratic License v2.1,Hippocratic-2.1
Historical Permission Notice and Disclaimer,HPND
Historical Permission Notice and Disclaimer - sell variant,HPND-sell-variant
ibmpl,IPL-1.0
IBM PowerPC Initialization and Boot Software,IBM-pibs
IBM PowerPC Software,IBM-pibs
IBM Public License 1.0,IPL-1.0
IBM Public License v1.0,IPL-1.0
IBM Public License Version 1.0,IPL-1.0
"IBM Public License, Version 1.0",IPL-1.0
ICU,X11
IJG License,IJG
ImageMagick License,ImageMagick
iMatix Standard Function Library Agreement,iMatix
Imlib2 License,Imlib2
Independent JPEG Group License,IJG
Indiana Extreme License 1.2,xpp
Info-ZIP copyright and license (version 2005-Feb-10),Info-ZIP
Info-Zip License,Info-ZIP
Info-ZIP License,Info-ZIP
Info-ZIP license (Version 2007-Mar-04),Info-ZIP
Info-ZIP license (version 2009-Jan-02),Info-ZIP
Intel ACPI SLA,Intel-ACPI
Intel ACPI Software License Agreement,Intel-ACPI
Intel BSD - Export Control,Intel
Intel License Agreement,Intel
Intel Open Source License,Intel
intel-osl,Intel
Interbase Public License 1.0,Interbase-1.0
Interbase Public License v1.0,Interbase-1.0
"INTERBASE PUBLIC LICENSE, Version 1.0 by ""Borland Software Corporation""",Interbase-1.0
"InterBase Public License, Version 1.0",Interbase-1.0
IPA Font License 1.0,IPA
IPA Font License Agreement v1.0,IPA
IPA Font License,IPA
IPL 1.0,IPL-1.0
isc-license,ISC
ISC license,ISC
ISC License,ISC
ISC License (ISC),ISC
Japan Network Information Center License,JPNIC
JasPer 2.0,JasPer-2.0
JasPer License,JasPer-2.0
JasPer License Version 2.0,JasPer-2.0
JPEG License,IJG
JPNIC idnkit License,JPNIC
JSON License,JSON
Latex2e License,Latex2e
